epoch accuracy precision recall F1-score       0       1       2       0       1       2       0       1       2
  112   98.025    98.347 98.259   98.270  99.658 100.000  95.385  95.098 100.000  99.678  97.324 100.000  97.484
  113   97.901    98.249 98.150   98.161  99.656 100.000  95.092  94.771 100.000  99.678  97.152 100.000  97.331
  114   98.148    98.446 98.368   98.378  99.659 100.000  95.679  95.425 100.000  99.678  97.496 100.000  97.638
  115   98.272    98.545 98.477   98.486  99.660 100.000  95.975  95.752 100.000  99.678  97.667 100.000  97.792
  116   98.642    98.824 98.807   98.811  99.003 100.000  97.468  97.386 100.000  99.035  98.188 100.000  98.246
  117   98.272    98.515 98.480   98.487  98.993 100.000  96.552  96.405 100.000  99.035  97.682 100.000  97.778
  118   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  119   98.148    98.446 98.368   98.378  99.659 100.000  95.679  95.425 100.000  99.678  97.496 100.000  97.638
  120   98.272    98.545 98.477   98.486  99.660 100.000  95.975  95.752 100.000  99.678  97.667 100.000  97.792
  121   98.765    98.937 98.914   98.919  99.333 100.000  97.476  97.386 100.000  99.357  98.350 100.000  98.408
  122   98.519    98.720 98.698   98.703  99.000 100.000  97.161  97.059 100.000  99.035  98.020 100.000  98.089
  123   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  124   98.272    98.564 98.475   98.486 100.000 100.000  95.692  95.425 100.000 100.000  97.659 100.000  97.799
  125   98.025    98.369 98.257   98.269 100.000 100.000  95.107  94.771 100.000 100.000  97.315 100.000  97.492
  126   97.901    98.272 98.148   98.161 100.000 100.000  94.817  94.444 100.000 100.000  97.143 100.000  97.340
  127   97.778    98.152 98.041   98.053  99.655 100.000  94.801  94.444 100.000  99.678  96.980 100.000  97.179
  128   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  129   98.889    99.040 99.023   99.027  99.336 100.000  97.785  97.712 100.000  99.357  98.517 100.000  98.565
  130   98.765    98.928 98.916   98.919  99.007 100.000  97.778  97.712 100.000  99.035  98.355 100.000  98.403
  131   98.025    98.328 98.261   98.270  99.320 100.000  95.666  95.425 100.000  99.357  97.333 100.000  97.476
  132   98.148    98.466 98.366   98.378 100.000 100.000  95.399  95.098 100.000 100.000  97.487 100.000  97.645
  133   97.901    98.229 98.152   98.162  99.317 100.000  95.370  95.098 100.000  99.357  97.162 100.000  97.323
  134   98.025    98.347 98.259   98.270  99.658 100.000  95.385  95.098 100.000  99.678  97.324 100.000  97.484
  135   98.395    98.645 98.586   98.594  99.661 100.000  96.273  96.078 100.000  99.678  97.837 100.000  97.946
  136   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  137   98.395    98.645 98.586   98.594  99.661 100.000  96.273  96.078 100.000  99.678  97.837 100.000  97.946
  138   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  139   98.642    98.834 98.805   98.811  99.331 100.000  97.170  97.059 100.000  99.357  98.182 100.000  98.251
  140   98.642    98.834 98.805   98.811  99.331 100.000  97.170  97.059 100.000  99.357  98.182 100.000  98.251
  141   98.642    98.834 98.805   98.811  99.331 100.000  97.170  97.059 100.000  99.357  98.182 100.000  98.251
